"QUESTION_ID","OPTION"
"127","Only religious concerns mattered"
"127","Rome had military weakness"
"127","Politics were irrelevant"
"128","Religious duty only"
"128","Display power and wealth"
"128","Attract Etruscan settlers"
"128","Reduce military costs"
"128","Create trade routes"
"129","Eliminated all hierarchy"
"129","Built bonds across classes"
"129","Gave power to plebeians"
"129","Replaced government"
"129","Created total equality"
"130","Improved military defense"
"130","Supplied fresh water"
"130","Enabled urban expansion"
"130","Offered religious shelter"
"130","Replaced agriculture"
"131","Priests controlled armies"
"131","Divine approval legitimized rulers"
"131","Plebeians held religious power"
"131","Religion was unimportant"
"131","Women controlled both"
"132","Rome rejected all religious practice"
"132","Military concerns replaced spiritual focus"
"132","Etruscans eliminated Roman worship"
"132","Plebeians seized political power"
"132","Rome maintained faith while expanding materially"
"133","Accept all details as historical"
"133","Reject the story entirely"
"133","View myth as ideology, archaeology shows gradual settlement"
"133","Written and archaeological sources perfectly align"
"133","The she-wolf story is archaeologically proven"
"134","They had eyewitness accounts"
"134","Earlier sources may be unreliable"
"134","Contemporary written records survived"
"134","They avoided using any sources"
"134","They had no potential bias"
"135","Confirms 753 BCE exactly"
"135","Shows settlements from 1000 BCE"
"135","Proves nothing existed before 500 BCE"
"135","Contradicts all written sources"
"135","Shows only Etruscan presence"
"136","Use only mythological accounts"
"136","Rely on excavation exclusivley since texts are biased"
"136","Combine texts and archaeology critically"
"136","Accept legends with some critical question"
"136","Read only religious texts"
"137","Society was completely equal"
"137","Social hierarchy was fundamental"
"137","Plebeians held significant power"
"137","Class didn't matter at all"
"137","Only slaves existed there"
"138","All legends are definitely historical"
"138","All legends are definitely false"
"138","Compare sources with archaeology"
"138","Accept sources without question"
"138","Legends have no historical value"
"139","Religion was unimportant"
"139","Religion was only personal"
"139","Religion legitimized political power"
"139","Only priests participated"
"139","Religion was imported from Greece"
"140","Military conquest would completely eliminate all local practices"
"140","Etruscans left no archaeological evidence"
"140","Written records explicitly forbid invasion"
"140","Etruscans were geographically too distant"
"140","Voluntary adoption of cultural practices suggests peaceful exchange"
"141","Rome was becoming less organized"
"141","External forces controlled Rome"
"141","Institutions had no real impact"
"141","Rome rejected all organization"
"141","Society was becoming more stratified"
"142","Accept the account as completely factual"
"142","Compare the narrative with other sources and evidence"
"142","Reject all stories passed down by ancient authors"
"142","Accept myths without any critical analysis"
"142","Ignore literary sources entirely"
"143","The change was entirely peaceful"
"143","Tension between royal and aristocratic power emerged"
"143","Military invasion caused the collapse"
"143","The transition happened with no warning"
"143","Economic factors were irrelevant"
"143","Religious authority completely disappeared"
"144","Organization of citizens into military centuries based on wealth"
"144","The Comitia Centuriata voting assembly"
"144","Power transferred from birth to property ownership"
"144","Complete elimination of the patrician class"
"144","Division of citizens into five property classes"
"144","Direct democracy for all citizens"
"145","Eliminated all class distinctions"
"145","Gave complete power to plebeians"
"145","Maintained the exact same system"
"145","Created a pure democracy"
"145","Abolished the Senate entirely"
"145","Connected property to political power"
"146","Rome's central Italian location"
"146","Contact with Etruscans"
"146","Trade with Greece"
"146","Complete cultural isolation"
"146","Military conquest of regions"
"146","Integration of varied traditions"
"147","Created perfect equality"
"147","Provided mutual benefits and hierarchy"
"147","Eliminated government need"
"147","Only benefited patricians"
"147","Had no connection to hierarchy"
"147","Destabilized the entire system"
"148","Military century ranking determined political power"
"148","Wealth became influential in governance"
"148","Plebeians gradually gained power over patricians"
"148","Democratic type of government gradually replaced oligarchy"
"148","Kinship lost political weight"
"148","Property tied to participation"
"149","Religion became less important"
"149","Religious authority legitimized power"
"149","Politics became independent from religion"
"149","Society became less organized"
"149","Military replaced all authority"
"149","External religions ruled Rome"
"150","Served only religious purposes"
"150","Showed Rome's growing power"
"150","Required large-scale coordination"
"150","Established Rome as a major city"
"150","Had purely ceremonial significance"
"150","Absorbed Etruscan architectural knowledge"
"151","All material is historically accurate"
"151","Legends have no historical value"
"151","Later authors blended fact and ideology"
"151","Contemporary sources are objective"
"151","Archaeology contradicts all texts"
"151","Accept sources without critical thinking"
"152","Senate was completely dissolved"
"152","The Centuriata assembly continued to vote"
"152","Magistrates replaced the king's role"
"152","All plebeians gained immediate equality"
"152","Religious authority was maintained"
"152","Patron-client relationships were abolished"
"153","509 BCE"
"153","494 BCE"
"153","450 BCE"
"153","367 BCE"
"154","One"
"154","Two"
"154","Three"
"154","Five"
"155","To increase military strength"
"155","To prevent the concentration of power"
"155","To reduce the cost of government"
"155","To facilitate trade with neighboring cities"
"156","Imperium"
"156","Potestas"
"156","Auctoritas"
"156","Intercessio"
"157","He could immediately run for another term"
"157","He was protected from any legal action"
"157","He could be prosecuted for his actions in office"
"157","He automatically became a senator for life"
"158","The Senate"
"158","The Comitia Tributa"
"158","The Comitia Centuriata"
"158","The plebeian assembly"
"159","To command Rome's armies during military campaigns and approve all military expeditions"
"159","To directly vote on and pass all major laws proposed by magistrates"
"159","To control state finances and direct foreign policy decisions"
"159","To investigate crimes, prosecute offenders, and administer justice to all citizens"
"160","Quaestor"
"160","Aedile"
"160","Praetor"
"160","Dictator"
"161","Mos maiorum"
"161","Lex"
"161","Imperium"
"161","Auspicia"
"162","No one, not even the highest magistrate, stood above the law"
"162","One single ruler held all governmental power and made decisions alone"
"162","The ruler was answerable only to the gods and no earthly authority"
"162","The ruler could serve for life and pass the throne to successors"
"163","Wealthy merchants from Greece"
"163","Rome's aristocratic families who held power since the Kingdom period"
"163","Soldiers who served in the army"
"163","Religious priests and priestesses"
"164","Patricians"
"164","Slaves"
"164","Plebeians"
"164","Etruscan settlers"
"165","They were forced to pay excessive taxes to support the patrician elite"
"165","They were required to serve in the military far more frequently than patricians"
"165","They were legally prohibited from owning land and could only lease property"
"165","They were excluded from holding major political offices and had limited influence in government"
"166","509 BCE"
"166","494 BCE"
"166","450 BCE"
"166","445 BCE"
"167","Praetor"
"167","Aedile"
"167","Tribune"
"167","Censor"
"168","They could unilaterally declare war against neighboring nations without Senate approval"
"168","They could veto any action by other magistrates to protect plebeian interests"
"168","They could execute criminals and impose capital punishment without legal trial"
"168","They could directly control all Senate meetings and prevent magistrate assemblies"
"169","They were required to perform daily religious sacrifices on behalf of Rome"
"169","They were given special armed guards and protection by a dedicated security force"
"169","They were sacred and inviolable—anyone who physically harmed them could be killed with impunity"
"169","They held the authority to approve and regulate all religious ceremonies throughout Rome"
"170","Rome was constantly at war and depended heavily on plebeian soldiers for survival"
"170","Rome had no professional standing army available to replace the plebeian soldiers"
"170","Patrician aristocrats themselves fought in all battles and could not lead without plebeians"
"170","The Senate could not hold meetings or make any decisions without military support"
"171","Access to magistracies and high political offices like the consulship"
"171","Access to priesthoods and positions of religious authority in Rome"
"171","Complete elimination of the Senate as a governing body"
"171","Protection and legal safeguards against creditors enslaving debtors"
"172","Inability to trade goods with foreign merchants and neighboring city-states"
"172","Excessive military conscription requiring plebeians to serve too often in armies"
"172","Strict restrictions on farming and agriculture practiced by plebeian families"
"172","Debt slavery where creditors could enslave debtors who could not repay loans"
"173","There were far too many written laws for average citizens to remember them"
"173","Laws existed only as unwritten customs that patrician magistrates could arbitrarily reinterpret"
"173","Laws were written in Greek instead of Latin, making them incomprehensible to citizens"
"173","Laws were changed by magistrates every single time a new consul took office"
"174","509 BCE when the Republic was first established"
"174","494 BCE when the first tribunes were created"
"174","450 BCE when the decemvirs completed their written legal code"
"174","400 BCE during the later stages of the early Republic"
"175","The law of twelve magistrates who governed together"
"175","The law of twelve tribes voting on major decisions"
"175","The law of the twelve bronze tablets inscribed with legal code"
"175","The law of twelve gods who protected the Roman state"
"176","A group of ten senators chosen by the Senate for this task"
"176","A special commission of ten men given authority to draft legal code"
"176","Ten military generals who had won victories against Rome's enemies"
"176","Ten representatives elected directly by the plebeian assembly"
"177","The laws of Egypt which had been written down centuries earlier"
"177","The Etruscan legal system used in the northern cities"
"177","The Carthaginian laws used by trading cities in North Africa"
"177","Greek law, particularly the legal code established in Athens"
"178","Laws were now public and could not be arbitrarily reinterpreted by patricians"
"178","It immediately eliminated the Senate and all patrician political power"
"178","It allowed plebeians to become consuls and hold the highest offices"
"178","It abolished debt slavery and freed all debtors enslaved to creditors"
"179","Rules governing property law, inheritance, and property disputes"
"179","Laws establishing family structure, marriage, and parental authority"
"179","Procedures for bringing lawsuits and conducting court trials"
"179","Formal requirements for plebeians to become senators and consuls"
"180","Rules about property inheritance that gave equal shares to all heirs"
"180","Regulations regarding debt slavery and creditor power over debtors"
"180","Procedures restricting military commanders from leading armies alone"
"180","Requirements that all magistrates had to consult with tribunes"
"181","Ancient authors quoted and summarized the laws in their historical writings"
"181","The original bronze tablets survive intact in Roman museums today"
"181","Archaeological excavations uncovered clay tablets with complete word-for-word text"
"181","Livy provided a detailed word-for-word transcription in his historical work"
"182","It eliminated all patrician privileges and made all citizens completely equal"
"182","It gave all plebeians immediate access to every magistracy and priesthood"
"182","It abolished slavery throughout the Roman state and freed all enslaved people"
"182","It established that law was objective and applied equally to all citizens"
"183","Consuls reported directly to the Senate who supervised their decisions always"
"183","The Senate and tribunes had to approve all major consular decisions"
"183","Consuls rotated military command every month to share authority equally"
"183","Consuls were required to consult the assembly before taking any action"
"183","Either consul could block the other's decisions, preventing one from accumulating power"
"184","Tribunes were subordinate to magistrates and had to obey their orders"
"184","Tribunes and magistrates shared equal authority in all governmental matters"
"184","Magistrates could not veto tribunes, but tribunes could veto magistrates"
"184","Tribunes answered directly to the plebeians, not to magistrates"
"184","Tribunes shared command of armies equally with consuls"
"184","The relationship was asymmetrical—designed to protect plebeian interests from magistratic abuse"
"185","It prevented consuls from becoming too wealthy and accumulating personal fortune"
"185","It allowed younger men to hold office more quickly in their careers"
"185","Consuls could be held accountable for their actions after leaving office through prosecution"
"185","It guaranteed that different patrician families took turns holding the office"
"185","It prevented consuls from building loyalty among the soldiers under their command"
"185","It forced consuls to work together rather than compete for long-term power"
"186","Only patricians were allowed to participate in voting on major decisions"
"186","Citizens voted twice—once in assemblies and once in the Senate"
"186","Organized by wealth with wealthy centuries voting first and deciding early"
"186","Each tribe had exactly one vote regardless of population or property"
"186","The assembly was structured to advantage wealthy property owners"
"186","Voting was secret to prevent wealthy citizens from intimidating poorer voters"
"187","Citizens from different tribes and regions governed together as a unified body"
"187","Magistrates provided executive energy; Senate provided stability; assemblies represented citizens—each checked others"
"187","Both patricians and plebeians were given exactly equal voting rights and power"
"187","The king shared governmental power with elected magistrates and the Senate"
"187","The constitution combined written law with unwritten custom and precedent"
"187","Multiple types of government institutions worked together with built-in power limitations"
"188","It prevented them from going to war against neighboring nations entirely"
"188","It reduced their salaries and made the positions less attractive"
"188","Magistrates had to follow legal procedures and could be prosecuted for violations"
"188","It gave the Senate complete control over all their governmental decisions"
"188","It made magistrates subservient to the assemblies and popular opinion"
"189","Plebeians outnumbered patricians in the Senate and could vote to change laws"
"189","Rome depended on plebeian soldiers for defense; without them government was paralyzed"
"189","Plebeians controlled the priesthoods and could deny religious authority to patricians"
"189","The assembly voted to support plebeian demands whenever they requested it"
"189","Patricians feared violent rebellion if they refused plebeian demands"
"189","Foreign enemies would invade if Rome had no army to defend it"
"190","Tribunes had more total power than consuls and controlled the government"
"190","Tribunes were chosen by the Senate instead of being elected by people"
"190","Created specifically for plebeians, stood outside traditional hierarchy, answered to plebeians directly"
"190","Tribunes could only serve one year while other magistrates served multiple years"
"190","Tribunes were the only magistrates with veto power over other officials"
"190","Tribunes were inviolable and could not be prosecuted for their actions"
"191","Higher magistrates could veto all decisions made by lower magistrates"
"191","Each office had specific responsibilities; rotation prevented long-term power accumulation"
"191","Lower magistrates were appointed by higher magistrates rather than elected"
"191","Only patricians could hold higher offices while plebeians held lower offices"
"191","The cursus honorum required officials to hold multiple offices over time"
"191","Power was distributed among different officials rather than concentrated in one"
"192","Deadlocks between consuls never actually happened in the Republican system"
"192","The Senate could always break any deadlock between the consuls immediately"
"192","Consuls were required to agree on all major decisions before implementation"
"192","The people could vote to override consular deadlock if necessary"
"192","One consul always deferred to the other's judgment in practice"
"192","They believed risk of deadlock was preferable to unchecked power enabling tyranny"
"193","Patricians deliberately destroyed their crops to force them into servitude"
"193","The state taxed plebeian farmers more heavily than patrician landowners"
"193","Poor harvests or inability to repay loans could result in enslavement to creditors"
"193","Farmers were strictly forbidden from borrowing money under any circumstances"
"193","Debt slavery only affected wealthy plebeians, not poor farmers"
"194","Plebeians preferred to remain landless and pursue other occupations"
"194","Plebeians fought in the wars but received little land while patricians got most"
"194","The public land was too far from the city to be useful for farming"
"194","Plebeians lacked the knowledge and skills required to farm the land properly"
"194","Patricians controlled the wealth that came from land ownership and power"
"194","Land distribution was controlled by the Senate without plebeian input"
"195","The Senate explicitly forbade them from helping plebeian debtors"
"195","Plebeians never asked for protection against their creditors"
"195","The tribunes always blocked attempts to protect plebeians from debt"
"195","Patricians viewed debt slavery as necessary for maintaining social order"
"195","Laws explicitly protected creditors' rights over debtors' freedom"
"195","Patrician magistrates were often creditors themselves who profited from debt slavery"
"196","It involved violent rebellion that forced patricians to surrender immediately"
"196","It threatened the plebeian soldiers Rome needed to defend itself and paralyzed government"
"196","It allowed plebeians to take temporary control of the government and armed forces"
"196","It gave plebeians leverage without requiring direct military confrontation"
"196","It demonstrated plebeian indispensability to Rome's security and survival"
"196","It forced patricians to negotiate when they could not replace the plebeian army"
"197","Tribunes eventually became as corrupt as other magistrates in their own ways"
"197","It gave plebeians institutional protection and a permanent voice in government"
"197","Plebeians immediately rejected the tribune office and demanded something different"
"197","Patricians abolished the tribune office within a decade of its creation"
"197","It provided plebeians with power to block magistrates from abusing them"
"198","They established written law preventing arbitrary interpretation but codified debt slavery"
"198","They eliminated all patrician privileges and made all citizens completely equal"
"198","They gave magistracies to plebeians while leaving patricians with no political power"
"198","They abolished the Senate entirely and gave all power to the assemblies"
"198","They created equal voting rights but did not end patrician legal monopoly"
"199","Plebeians immediately rejected all concessions and demanded violent revolution instead"
"199","Each concession established precedent and proved change was possible within the system"
"199","Concessions created expectations for additional reforms rather than satisfying plebeians"
"199","Patricians refused to make any further concessions after the tribunal office"
"199","The strategy delayed but could not prevent eventual loss of patrician monopoly"
"199","Plebeians used each concession as stepping stone to demand more power"
"200","It refers to minor disputes between different military units and commanders"
"200","It names the fundamental political struggle between patricians and plebeians"
"200","It describes religious conflicts between different temples and priesthoods"
"200","It refers to disagreements among different regions of the Italian peninsula"
"200","It emphasizes that this conflict lasted centuries and shaped all Republican development"
"201","Plebeians' essential military role gave them leverage to demand concessions"
"201","It made plebeians less interested in achieving political rights and power"
"201","Wars were fought entirely by patrician soldiers without plebeian involvement"
"201","External enemies directly supported and encouraged the plebeian cause against patricians"
"201","Military success allowed patricians to distribute plunder and temporarily ease tensions"
"201","Plebeians could threaten secession knowing Rome desperately needed their soldiers"
"202","It shows plebeians never really cared about debt slavery at all"
"202","It demonstrates written law alone was insufficient without political power to change laws"
"202","It proves the Twelve Tables were a complete failure for plebeians"
"202","It shows the tribunes successfully opposed and prevented the Twelve Tables"
"202","It reveals patricians controlled the legal code and used it to legitimize exploitation"
"202","It explains why plebeians continued to demand further reforms after the Twelve Tables"
"203","Early Republic sources contain less mythological material and are closer in historical time"
"203","The Twelve Tables provide contemporary written evidence to verify literary claims"
"203","All early Republic sources were written by eyewitnesses to the actual events"
"203","Early Republic sources contain no legendary or invented material"
"203","Archaeological evidence for the early Republic is more abundant than for Kingdom"
"204","Patrician status was clearly defined in written law from the Republic's beginning"
"204","The patrician-plebeian distinction may have been less rigid initially than later sources suggest"
"204","Patricians deliberately hid their status from historical documentation"
"204","The distinction emerged gradually over time and became clearer as centuries passed"
"204","Ancient authors were intentionally lying about patrician existence"
"205","Both systems concentrated power in a single individual but paid different salaries"
"205","Kingdom had one ruler answerable to none; Republic distributed power among multiple officials"
"205","Republic had a king while Kingdom government was controlled by tribunes"
"205","Kingdom allowed popular assemblies while Republic gave power only to patricians"
"205","Both systems were essentially identical in their fundamental governmental structure"
"206","Wealthy citizens and poor citizens had exactly equal voting power in every instance"
"206","It gave formal voting rights to all citizens while concentrating power among the wealthy"
"206","It gave all voting power to plebeians and none to patrician citizens"
"206","Poor citizens had significantly more voting power than wealthy patrician citizens"
"206","It was specifically designed to prevent all patricians from holding office"
"207","All reforms definitely happened at the exact dates ancient sources provide"
"207","No reforms ever happened because the entire Conflict is invented and fictional"
"207","Broad plebeian rights expansion is confirmed, but specific dates and incidents may be misremembered"
"207","Plebeians gained all political rights immediately when the Republic began"
"207","Only written sources matter; archaeology tells us nothing about the early Republic"
"208","Distribution of executive power between two equal magistrates with mutual veto"
"208","Systematic limitation of magistrate terms to one year maximum"
"208","Post-term accountability for magistrates through legal prosecution"
"208","Creating a magistracy specifically to protect plebeians against the elite"
"208","Preservation of unwritten ancestral custom (*mos maiorum*) as fundamental law"
"209","Written law immediately ended all patrician-plebeian political conflict completely"
"209","The Twelve Tables abolished the Senate as the ruling governing body"
"209","Written law prevented arbitrary interpretation but not plebeian exclusion from magistracies"
"209","Plebeians rejected written law and demanded to return to oral tradition"
"209","The Twelve Tables gave all political power to plebeians immediately"
"210","Structural safeguards are more reliable than trusting in individual personal virtue"
"210","Even a virtuous consul could be constrained by his colleague to prevent abuse"
"210","Power concentrated in any single office was considered inherently and fundamentally dangerous"
"210","Mutual veto eliminated any need for a Senate to advise magistrates"
"210","Plebeians could serve as consuls immediately with mutual veto in place"
"211","Ancient sources are always completely accurate in every detail provided"
"211","Historians should ignore ancient sources entirely and rely only on archaeology"
"211","Historians must use multiple evidence types critically, recognizing bias and legendary material"
"211","Modern historians know more than ancient authors so we dismiss accounts entirely"
"211","All historical claims about the past are equally valid regardless of available evidence"
"212","Concessions created precedent encouraging plebeians to demand additional reforms"
"212","Plebeians rejected all offers and demanded violent revolutionary change instead"
"212","The strategy delayed but could not prevent eventual loss of patrician monopoly"
"212","The tribunes immediately took over the entire government after first concession"
"212","Plebeians gradually gained enough political power to challenge patrician dominance"
"213","Germanic peoples from lands east of the Rhine River"
"213","Indo-European Celtic peoples from Central Europe and the Danube region"
"213","Greek colonists who had expanded northward into Mediterranean regions"
"213","Etruscan warriors who migrated from what is now Tuscany"
"214","410 BCE"
"214","400 BCE"
"214","390 BCE"
"214","370 BCE"
"215","The Tiber River near Rome's city center"
"215","The Arno River in northern Italy where Rome's allies lived"
"215","The Po River in Cisalpine Gaul where Gauls originally settled"
"215","The Allia River, a tributary of the Tiber about 11 miles north of Rome"
"216","They used crossbows from long distances and avoided hand-to-hand combat"
"216","They were large, strong fighters who relied on abandon and ferocity with long swords"
"216","They wore heavy armor and fought in tight formations like Roman soldiers"
"216","They used poisoned weapons and fought primarily at night to surprise enemies"
"217","Camillus"
"217","Brennus"
"217","Licinius"
"217","Sextius"
"218","Rome decided never to fight foreign wars again and focused only on internal peace"
"218","Rome hired Gallic mercenaries to replace soldiers who had died in battle"
"218","Rome eliminated the consular system and created a permanent military dictatorship"
"218","Rome had to rebuild its army and improve military organization after catastrophic defeat"
"219","It completely ended the conflict and made patricians and plebeians permanent equals"
"219","Patricians and plebeians had to work together temporarily to defend Rome and expel the Gauls"
"219","It caused plebeians to abandon their demands for political power and accept patrician rule"
"219","It gave patricians enough power to permanently crush plebeian political aspirations"
"220","They had superior numbers compared to all Mediterranean peoples"
"220","They possessed superior iron-working technology and better weapons than many peoples"
"220","They had developed naval power that no one else in the Mediterranean could match"
"220","They used magic and supernatural powers that made them invincible in battle"
"221","A Gallic kingdom in southern Italy that traded with Rome"
"221","Gaul on the far side of the Alps where Celtic peoples originated"
"221","Gaul on this side of the Alps where Celtic tribes settled in the Po River valley"
"221","A Roman colony established north of the Tiber River by patrician generals"
"222","Several months before the Gauls withdrew or were expelled"
"222","A few weeks before they were immediately expelled"
"222","Several years of continuous occupation and Roman subjugation"
"222","The Gauls permanently settled Rome and became the new ruling class"
"223","Germanic peoples from lands east of the Rhine River"
"223","Indo-European Celtic peoples from Central Europe and the Danube region"
"223","Greek colonists who had expanded northward into Mediterranean regions"
"223","Etruscan warriors who migrated from what is now Tuscany"
"224","410 BCE"
"224","400 BCE"
"224","390 BCE"
"224","370 BCE"
"225","The Tiber River near Rome's city center"
"225","The Arno River in northern Italy where Rome's allies lived"
"225","The Po River in Cisalpine Gaul where Gauls originally settled"
"225","The Allia River, a tributary of the Tiber about 11 miles north of Rome"
"226","They used crossbows from long distances and avoided hand-to-hand combat"
"226","They were large, strong fighters who relied on abandon and ferocity with long swords"
"226","They wore heavy armor and fought in tight formations like Roman soldiers"
"226","They used poisoned weapons and fought primarily at night to surprise enemies"
"227","Camillus"
"227","Brennus"
"227","Licinius"
"227","Sextius"
"228","Rome decided never to fight foreign wars again and focused only on internal peace"
"228","Rome hired Gallic mercenaries to replace soldiers who had died in battle"
"228","Rome eliminated the consular system and created a permanent military dictatorship"
"228","Rome had to rebuild its army and improve military organization after catastrophic defeat"
"229","It completely ended the conflict and made patricians and plebeians permanent equals"
"229","Patricians and plebeians had to work together temporarily to defend Rome and expel the Gauls"
"229","It caused plebeians to abandon their demands for political power and accept patrician rule"
"229","It gave patricians enough power to permanently crush plebeian political aspirations"
"230","They had superior numbers compared to all Mediterranean peoples"
"230","They possessed superior iron-working technology and better weapons than many peoples"
"230","They had developed naval power that no one else in the Mediterranean could match"
"230","They used magic and supernatural powers that made them invincible in battle"
"231","A Gallic kingdom in southern Italy that traded with Rome"
"231","Gaul on the far side of the Alps where Celtic peoples originated"
"231","Gaul on this side of the Alps where Celtic tribes settled in the Po River valley"
"231","A Roman colony established north of the Tiber River by patrician generals"
"232","Several months before the Gauls withdrew or were expelled"
"232","A few weeks before they were immediately expelled"
"232","Several years of continuous occupation and Roman subjugation"
"232","The Gauls permanently settled Rome and became the new ruling class"
"233","Camillus and Brennus"
"233","Marcus Valerius and Appius Claudius"
"233","Titus Quinctius and Fabius Maximus"
"233","Gaius Licinius and Lucius Sextius"
"234","A temporary law that lasted only one year before expiring automatically"
"234","A veto issued by tribunes to block magistrates from taking action"
"234","A formal proposal submitted to assemblies for discussion and voting"
"234","An emergency decree issued by the dictator during military crisis"
"235","That all citizens would have equal voting rights in all assemblies without property requirements"
"235","That at least one of the two consuls must be plebeian every year"
"235","That the Senate would be abolished and replaced with a purely plebeian assembly"
"235","That all magistrates would serve for five-year terms instead of one year"
"236","380 BCE"
"236","370 BCE"
"236","367 BCE"
"236","360 BCE"
"237","Gaius Licinius"
"237","Lucius Sextius"
"237","Camillus"
"237","Brennus"
"238","They abolished all debt slavery immediately and freed enslaved debtors permanently"
"238","They required consuls to approve all debt slavery before it could be enforced"
"238","They established limits on creditor power and protections against arbitrary enslavement"
"238","They created a new government office specifically to manage enslaved debtors"
"239","Land was distributed equally to all citizens regardless of wealth or status"
"239","All public land was declared sacred and could not be given to anyone"
"239","The laws addressed land distribution, though exact terms remain unclear in sources"
"239","Public land was confiscated and redistributed only to patrician military officers"
"240","A person could hold any office repeatedly as often as they were elected"
"240","No one could hold the same magistracy twice within ten years or multiple offices simultaneously"
"240","Citizens could hold only one elected office in their entire lifetime"
"240","Magistracies could only be held by people who had served in the military for twenty years"
"241","The Tribune of the Plebs"
"241","The Censor"
"241","The Dictator"
"241","The Praetor"
"242","About one decade of repeated failed proposals"
"242","About two decades of repeated blocked proposals"
"242","Over a decade or more of political deadlock and blocked reform"
"242","Over four decades of continuous negotiation and compromise"
"243","They accepted patrician rule permanently and stopped demanding political rights"
"243","They resumed their demands for political access with renewed intensity"
"243","They moved out of Rome and established a separate plebeian city"
"243","They allied with the Gauls and threatened to invite them back"
"244","The right to establish their own plebeian temples and priesthoods completely separate from patricians"
"244","Access to priesthoods like augurs and pontifices that had been exclusively patrician"
"244","The right to veto all patrician religious ceremonies through tribune power"
"244","The ability to replace the patrician-controlled religious calendar with a new one"
"245","The Tribune of the Plebs because it was plebeian in origin"
"245","The Censor because it controlled census and property records"
"245","The Praetor because it involved military command in the field"
"245","The Consulship because it was the highest office and symbol of political authority"
"246","Only the consulship and no other offices"
"246","Quaestorships, praetorships, aedileships, and the consulship"
"246","Only military positions and not civilian magistracies"
"246","All offices except the dictator, which remained patrician only"
"247","They earned offices through military victories and nothing else"
"247","They claimed noble lineage, special religious knowledge, and ancestral tradition justified exclusive rule"
"247","They argued that plebeians were too poor to pay for the costs of holding office"
"247","They said the gods had revealed that only patricians could govern Rome"
"248","Imperium supremum (supreme power)"
"248","Auctoritas maxima (greatest authority)"
"248","Mos maiorum (the way of the ancestors)"
"248","Potestas populi (power of the people)"
